owner_name,address,city,parcel_id,lot_number,sale_date,sale_price,property_type,bedrooms,bathrooms,square_feet,year_built,sale_price_clean,county,scrape_date,scrape_timestamp
1525 AMESBURY LN COMMUNITY PROP TRUST,2360 N BERRYS CHAPEL RD,Unincorporated (000),036 01700 000,TR1,6/3/2025,"$2,550,000",,,,,,2550000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1532 BUNBURY DRIVE TRUST,1532 BUNBURY DR,Spring Hill (701),154P C 02600 000,0053,10/30/2025,"$600,000",,,,,,600000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1554 PUMPKIN RIDGE COURT TRUST,1554 PUMPKIN RIDGE CT,Nolensville (535),056G A 02100 000,1121,7/1/2025,"$1,300,000",,,,,,1300000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1580 EASTWOOD DEV LLC,1580 EASTWOOD DR,Brentwood (086),055B B 00300 000,0103,2/11/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1589 BIRCHWOOD CIRCLE REVERSE LLC,1589 BIRCHWOOD CIR,Franklin (263264),078H E 05500 000,0055,11/14/2025,"$575,000",,,,,,575000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1668 MALLORY LLC,1668 MALLORY LN,Brentwood (086),053D A 02900 000,,6/23/2025,"$3,100,000",,,,,,3100000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1800 GREY POINTE TRUST,1800 GREY POINTE DR,Brentwood (086),061D B 02300 000,,11/17/2025,"$3,900,000",,,,,,3900000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1801 HAVEN ROCK ROAD LLC,1801 HAVEN ROCK RD,Thompson's Station (718),146O A 00600 000,0014,11/17/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1804 HAVEN ROCK ROAD LLC,1804 HAVEN ROCK (PVT) RD,Thompson's Station (718),146O A 00800 000,0016,11/17/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1809 LEGACY COVE LANE LIV TRUST,1809 LEGACY COVE LN,Brentwood (086),060A C 00300 000,0039,4/23/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1880 PROP LLC,1880 BARNSTAPLE LN,Brentwood (086),060I D 00500 000,0206,7/10/2025,"$2,600,000",,,,,,2600000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1990 DR ROBINSON RD TRUST,1990 DR ROBINSON RD,Unincorporated (000),152 01802 000,,9/12/2025,"$3,250,000",,,,,,3250000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1997 TAHOE FUND TRUST,1853 PAGEANTRY CIR,Brentwood (086),061E D 01200 000,0106,11/7/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2004 LAVIGNA FAM TRUST,1672 GERALDS DR,Brentwood (086),055B D 02300 000,0164,9/26/2025,"$1,982,060",,,,,,1982060.0,Williamson,2026-01-20,2026-01-20 23:01:29
2006 DAVIDSON FAM TRUST,156 ASHER DOWNS CIR,Nolensville (535),056H C 01300 000,0013,2/7/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
200 BURKITT LLC,200 BURKITT COMMONS AVE,Nolensville (535),033 08203 000,BLDG F,9/18/2025,"$11,000,000",,,,,,11000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2014 WOODARD FAM TRUST,5620 WINSLET DR,Unincorporated (000),116G B 00400 000,,8/7/2025,"$1,250,000",,,,,,1250000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2015 REDISDENCE TRUST,422 BATTLE AVE,Franklin (263264),078J B 05100 000,0012,12/19/2025,"$2,625,946",,,,,,2625946.0,Williamson,2026-01-20,2026-01-20 23:01:29
2015 RESIDENCE TRUST,1401 WESTHAVEN BLVD,Franklin (263967),077B J 00700 000,0822,10/15/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2019 COOLEY FAM REV TRUST,1024 CONAR ST,Franklin (263967),077J B 01500 000,2381,6/24/2025,"$1,383,000",,,,,,1383000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2019 MOFFETT FAM TRUST,9628 PORTOFINO DR,Brentwood (086),055O A 03300 000,0026,7/24/2025,"$2,090,000",,,,,,2090000.0,Williamson,2026-01-20,2026-01-20 23:01:29
"2020 SHOENER CHRISTINE SUZANNE LIV TRUST &
2020 SHOENER SCOTT JOSEPH LIV TRUST",5200 SECOND CREEK LN,Unincorporated (000),116 05213 000,0107,4/30/2025,"$3,000,000",,,,,,3000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2021 BLENDED VENTURES LLC,1100 MCCALL PVT CT,Brentwood (086),028M C 01500 000,0016,4/25/2025,"$2,000,000",,,,,,2000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2021 CLAYTON JOHN D IRR TRUST,1955 ELIOT RD,Franklin (263967),077J A 01000 000,2329,8/21/2025,"$3,498,940",,,,,,3498940.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 DELPHI TRUST,7893 NOLENSVILLE RD,Unincorporated (000),110 03300 000,,3/5/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 FUHRMAN TENANCY BY THE ENTIRETY REV TRUST,6069 PASQUO RD,Unincorporated (000),015K D 01400 000,0714,11/12/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 HARDWICK FAMILY TRUST,8131 MOUNTAINTOP DR,Unincorporated (000),142F A 01900 000,,5/22/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 MYERS TN COMM PROP TRUST,725 W MAIN ST 104,Franklin (263264),078C J 02200C005,,12/16/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 POWLUS COMM PROP TRUST,2811 SUTHERLAND DR,Spring Hill (701),154I C 00600 000,0006,9/2/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2025 SHANE COMMUNITY PROP TRUST,1623 LEWISBURG PK,Unincorporated (000),133 00902 000,,4/1/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
203 BEASLEY DRIVE LLC,203 BEASLEY DR,Franklin (263264),090G C 00801 000,"20&, 21",11/26/2025,"$1,800,000",,,,,,1800000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2043 BAXTER LANE LLC,2043 BAXTER LN,Franklin (263967),052A K 01100 000,1550,7/17/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2091 ORANGERY DR LLC,2091 ORANGERY DR,Franklin (263967),089M F 02300 000,0177,6/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
220 JENNETTE PLACE TRUST,220 JENNETTE PL,Franklin (263264),079I A 04400 000,0044,8/7/2025,"$552,961",,,,,,552961.0,Williamson,2026-01-20,2026-01-20 23:01:29
222 OLD CARTERS CREEK PK TRUST,226 OLD CARTERS CREEK PK,Unincorporated (000),091 06501 000,,5/21/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
226 WILLIAMSBURG CIRCLE LLC,226 WILLIAMSBURG CIR,Brentwood (086),011H A 02000 000,0020,4/10/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2280 HENPECK LLC,2280 HENPECK LN,Unincorporated (000),105F A 00700 000,0145,8/14/2025,"$600,000",,,,,,600000.0,Williamson,2026-01-20,2026-01-20 23:01:29
249 INV LLC,2416 UNION STATION DR,Thompson's Station (718),153C A 01100 000,0115,6/17/2025,"$450,000",,,,,,450000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2519 AMES LLC,6328 LAURELWOOD DR,Brentwood (086),008P D 00500 000,0045,3/25/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
25 TRADITION LANE TRUST,25 TRADITION LN,Brentwood (086),034G B 03600 000,0421,7/8/2025,"$2,350,000",,,,,,2350000.0,Williamson,2026-01-20,2026-01-20 23:01:29
260 FOREST TRAIL TRUST,260 FOREST TRL,Brentwood (086),033B B 02100 000,0001,12/23/2025,"$750,000",,,,,,750000.0,Williamson,2026-01-20,2026-01-20 23:01:29
266 SEABOARD LLC,266 SEABOARD LN,Franklin (263264),053N A 00700 000,,9/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2.718 FARM LLC,PINEWOOD RD,Unincorporated (000),074 00102 000,,9/3/2025,"$1,295,520",,,,,,1295520.0,Williamson,2026-01-20,2026-01-20 23:01:29
2756 OTTERHAM TRUST,2756 OTTERHAM DR,Thompson's Station (718),145G D 01300 000,0113,10/16/2025,"$1,381,115",,,,,,1381115.0,Williamson,2026-01-20,2026-01-20 23:01:29
2920 LLC,3070 JUNE LAKE BLVD,Spring Hill (701),154J H 00800 000,0008,5/14/2025,"$1,874,328",,,,,,1874328.0,Williamson,2026-01-20,2026-01-20 23:01:29
2 CARMEL LN LLC,2 CARMEL LN,Brentwood (086),034K A 00400 000,0030,1/8/2026,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
2K FOUNDING TRUST,3522 BAILEY RD,Unincorporated (000),103 01548 000,0026,10/3/2025,"$2,200,000",,,,,,2200000.0,Williamson,2026-01-20,2026-01-20 23:01:29
2 LIONS LLC,9728 CONCORD RD,Brentwood (086),034 01500 000,,11/24/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
306 ROTHWELL PLACE TRUST,112 ADDISON AVE,Franklin (263967),064O F 07000 000,0399,2/27/2025,"$1,443,000",,,,,,1443000.0,Williamson,2026-01-20,2026-01-20 23:01:29
308 MALLORY STATION,1009 WINDCROSS CT,Franklin (263264),062G A 00400 000,,10/28/2025,"$10,445,000",,,,,,10445000.0,Williamson,2026-01-20,2026-01-20 23:01:29
308 MALLORY STATION,660 BAKERS BRIDGE AVE,Franklin (263264),053 12209 000,,9/23/2025,"$6,200,000",,,,,,6200000.0,Williamson,2026-01-20,2026-01-20 23:01:29
3100CJR2021 TRUST,3100 BOXLEY VIEW LN,Unincorporated (000),076 06502 000,,9/22/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
310 RIVER OAKS DEV LLC,310 RIVER OAKS RD,Brentwood (086),012C A 02400 000,0079,12/3/2025,"$1,400,000",,,,,,1400000.0,Williamson,2026-01-20,2026-01-20 23:01:29
317 BEL AIRE DRIVE TRUST,317 BEL AIRE DR,Franklin (263264),078K D 02100 000,0008,6/27/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
3208 BOYD MILL PIKE TRUST,3208 BOYD MILL PK,Unincorporated (000),065 04304 000,TR2,11/10/2025,"$4,000,000",,,,,,4000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
320 COTTON LANE TRUST,320 COTTON LN,Unincorporated (000),038M C 06900 000,0440,8/7/2025,"$888,000",,,,,,888000.0,Williamson,2026-01-20,2026-01-20 23:01:29
3516 REFUGE TRAIL TRUST,3516 REFUGE (PVT) TRL,Unincorporated (000),130 02510 000,0005,3/11/2025,"$2,000,000",,,,,,2000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
3700 GREY BARN LANE BTS LLC,3720 GREY BARN PVT LN,Unincorporated (000),103 01120 000,0004,11/25/2025,"$3,700,000",,,,,,3700000.0,Williamson,2026-01-20,2026-01-20 23:01:29
3LS PROP INC,3201 ASPEN GROVE DR #M-4,Franklin (263264),062 04503C124,"0301, M-4",7/2/2025,"$500,000",,,,,,500000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4002 ARNO ROAD LLC,4008 ARNO RD,Unincorporated (000),088 05101 000,0002,2/28/2025,"$1,240,000",,,,,,1240000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4033 KATHIE DRIVE TRUST,4033 KATHIE DR,Thompson's Station (718),145H A 00900 000,0011,3/10/2025,"$1,199,990",,,,,,1199990.0,Williamson,2026-01-20,2026-01-20 23:01:29
409 STABLE DR IRR TRUST,409 STABLE DR,Unincorporated (000),038M C 05500 000,0454,6/26/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
4259 WARREN LLC,4259 WARREN RD,Unincorporated (000),089E A 01000 000,0009,4/24/2025,"$989,100",,,,,,989100.0,Williamson,2026-01-20,2026-01-20 23:01:29
4269 PATE ROAD TRUST,4269 PATE RD,Unincorporated (000),088 09100 000,,5/1/2025,"$592,000",,,,,,592000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4383 NORTH CHAPEL ROAD LAND TRUST,4383 N CHAPEL RD,Unincorporated (000),107 02004 000,0002,10/30/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
444 BEACH CREEK ROAD NORTH LLC,444 BEECH CREEK RD N,Brentwood (086),007 01404 000,,5/1/2025,"$3,750,000",,,,,,3750000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4640 MURFREESBORO RD TRUST,4640 MURFREESBORO RD,Unincorporated (000),108 00201 000,TR1,6/19/2025,"$16,350,000",,,,,,16350000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4640 MURFREESBORO RD TRUST,MURFREESBORO RD,Unincorporated (000),108 00200 000,0001,6/19/2025,"$16,350,000",,,,,,16350000.0,Williamson,2026-01-20,2026-01-20 23:01:29
4655 DEV LLC,HARPETH-PEYT RD,Unincorporated (000),155 01504 000,,7/9/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
4655 DEV LLC,4655 HARPETH-PEYT RD,Unincorporated (000),155 01503 000,,8/13/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
4DAUGHTERS #3 LLC,8765 WELLER LN,Unincorporated (000),142K D 01600 000,16016,6/6/2025,"$950,000",,,,,,950000.0,Williamson,2026-01-20,2026-01-20 23:01:29
5000 GRACIOUS DRIVE LLC,5000 GRACIOUS DR,Franklin (263967),089M E 01800 000,0063,6/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5004 BLACKJACK DR TRUST,5004 BLACKJACK DR,Unincorporated (000),080E A 02400 000,0524,9/5/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5030 POPLAR LLC,5030 POPLAR FARMS DR,Franklin (263967),080G E 07300 000,0073,3/31/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5042 CONGRESS DRIVE TRUST,5042 CONGRESS DR,Franklin (263967),077J C 05100 000,2690,4/22/2025,"$1,626,000",,,,,,1626000.0,Williamson,2026-01-20,2026-01-20 23:01:29
506 FRANKLIN RD LLC,TRINITY RD,Unincorporated (000),108 12600 000,,11/12/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
509 DOUBLEDAY LANE COMM PROP TRUST,509 DOUBLEDAY LN,Brentwood (086),011O C 00300 000,0003,10/27/2025,"$3,200,000",,,,,,3200000.0,Williamson,2026-01-20,2026-01-20 23:01:29
5119 VISTA RIDGE LANE REV LAND TRUST,5119 VISTA RIDGE PVT LN,Unincorporated (000),144 06118 000,0003,7/8/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5124 DOGWOOD POINT LIV TRUST,5124 DOGWOOD PT,Brentwood (086),036C C 00300 000,0086,1/29/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5125 SEWARD LLC,5125 SEWARD RD,Brentwood (086),011I B 01300 000,0034,9/30/2025,"$1,300,000",,,,,,1300000.0,Williamson,2026-01-20,2026-01-20 23:01:29
5129 VIRGINIA WAY PROP OWNER LLC,5129 VIRGINIA WAY,Brentwood (086),011 00135 000,0004,12/12/2025,"$8,300,000",,,,,,8300000.0,Williamson,2026-01-20,2026-01-20 23:01:29
512 MAPLEGROVE LLC,512 MAPLEGROVE DR,Franklin (263264),079I D 02600 000,0224,5/27/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
5190 OLD HARDING RD TRUST,5190 OLD HARDING RD,Unincorporated (000),041 05201 000,0001,3/31/2025,"$6,715,000",,,,,,6715000.0,Williamson,2026-01-20,2026-01-20 23:01:29
5190 OLD HARDING ROAD TRUST,5210 OLD HARDING RD,Unincorporated (000),041 05206 000,,12/1/2025,"$1,900,000",,,,,,1900000.0,Williamson,2026-01-20,2026-01-20 23:01:29
5254 LYSANDER REV TRUST,5254 LYSANDER LN,Brentwood (086),029A A 01900 000,0123,9/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
54 PROP LLC,7008 LANCELEAF DR,Unincorporated (000),136N A 09600 000,0296,10/1/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
562 BONAIRE LLC,562 BONAIRE LN,Franklin (263967),077A A 00900 000,,9/5/2025,"$5,437,832",,,,,,5437832.0,Williamson,2026-01-20,2026-01-20 23:01:29
5892 NATCHEZ TRACE RD COMMUNITY PROPERTY TRUST,5892 NATCHEZ TRACE RD,Unincorporated (000),127 01900 000,TR 2,3/25/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
6001 YATES COURT TRUST,6001 YATES PVT CT,Nolensville (535),059C O 00300C007,,12/2/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
6005 BELLE RIVE DR TRUST,6005 BELLE RIVE DR,Brentwood (086),012K C 00500 000,0057,11/20/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
615 CUSTOM HOMES LLC,9016 HOOD PL,Brentwood (086),029C B 03100 000,0022,2/24/2025,"$1,040,000",,,,,,1040000.0,Williamson,2026-01-20,2026-01-20 23:01:29
6220 MURRAY LANE REVERSE LLC,6220 MURRAY LN,Brentwood (086),012 01000 000,10-A,10/14/2025,"$6,028,837",,,,,,6028837.0,Williamson,2026-01-20,2026-01-20 23:01:29
660 DFH II LLC,5000 FAIRHAVEN PVT CIR,Unincorporated (000),155H C 03800 000,0138,4/21/2025,"$1,255,687",,,,,,1255687.0,Williamson,2026-01-20,2026-01-20 23:01:29
6616 HASTINGS LANE TRUST,6616 HASTINGS LN,Unincorporated (000),025E A 01200 000,1623,8/15/2025,"$1,650,000",,,,,,1650000.0,Williamson,2026-01-20,2026-01-20 23:01:29
673 LEGENDS CREST DRIVE TRUST,673 LEGENDS CREST DR,Unincorporated (000),037G E 00600 000,0607,11/13/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
6751CS LLC,4623 JOHNNY BENNETT RD,Unincorporated (000),156 01306 000,TR6,4/2/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
6B HOLDINGS LLC,7404 TENNESSEE EXCAVATING DR,Nolensville (535),033 10810 000,015A,5/22/2025,"$5,000,000",,,,,,5000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7007 ORDINARY EST LLC,7007 BELCASTLE PVT LN,Unincorporated (000),141 04604 000,0001,10/2/2025,"$5,027,900",,,,,,5027900.0,Williamson,2026-01-20,2026-01-20 23:01:29
7031 STARNES CREEK BLVD REV TRUST,7031 STARNES CREEK BLVD,Unincorporated (000),134E A 01500 000,0215,3/27/2025,"$1,349,900",,,,,,1349900.0,Williamson,2026-01-20,2026-01-20 23:01:29
7108 GREGORY CT LLC,7108 GREGORY CT,Fairview (255),022H A 00400 000,0036,11/10/2025,"$270,000",,,,,,270000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7120 LANCELEAF LLC,7120 LANCELEAF DR,Unincorporated (000),136K A 01600 000,0416,9/2/2025,"$1,300,000",,,,,,1300000.0,Williamson,2026-01-20,2026-01-20 23:01:29
712 SILLS LLC,6415 JOHNSON CHAPEL CIR,Brentwood (086),012H G 00100 000,0001,6/20/2025,"$3,175,000",,,,,,3175000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7200 BRUSH CREEK ROAD TRUST,7200 BRUSH CREEK RD S,Unincorporated (000),023 00100 000,0001,2/4/2025,"$225,000",,,,,,225000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7337 HARLOW LLC,7337 HARLOW DR,Unincorporated (000),136N A 03900 000,0239,12/11/2025,"$4,500,000",,,,,,4500000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7456 PENNGROVE TRUST,7456 PENNGROVE LN,Fairview (255),047B F 00600 000,0014,5/6/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
7531 SOUTHWELL DRIVE TRUST,7531 SOUTHWELL DR,Unincorporated (000),108O B 03000 000,0230,4/11/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
7555 WHISKEY ROAD LLC,7555 WHISKEY RD,Unincorporated (000),136K A 00100 000,0401,10/6/2025,"$6,200,000",,,,,,6200000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7562 AUBREY RIDGE DR TRUST,AUBREY RIDGE DR,Fairview (255),068 00114 000,0004,5/6/2025,"$2,700,000",,,,,,2700000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7562 AUBREY RIDGE DR TRUST,7562 AUBREY RIDGE DR,Fairview (255),068 00113 000,0002,5/6/2025,"$2,700,000",,,,,,2700000.0,Williamson,2026-01-20,2026-01-20 23:01:29
7562 AUBREY RIDGE TRUST,KING RD,Fairview (255),068 00105 000,TR1,12/19/2025,"$185,000",,,,,,185000.0,Williamson,2026-01-20,2026-01-20 23:01:29
8000 SHOALS BRANCH RD COMMUNITY PROP TRUST,8000 SHOALS BRANCH RD,Unincorporated (000),125 01200 000,TR4,9/10/2025,"$680,000",,,,,,680000.0,Williamson,2026-01-20,2026-01-20 23:01:29
8124 REV TRUST,1867 BARNSTAPLE LN,Brentwood (086),060H G 02600 000,0233,12/10/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
812 PRINCETON HILLS TRUST,812 PRINCETON HILLS DR,Brentwood (086),028C A 02600 000,0060,8/15/2025,"$4,000,000",,,,,,4000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
8321 SAINT DANASUS LLC,1011 MURFREESBORO RD #D-3,Franklin (263264),079H H 00100C017,D-3,10/16/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
8908 PALMER TRUST,8908 PALMER PVT WAY,Brentwood (086),029B B 00100 000,,3/12/2025,"$3,000,000",,,,,,3000000.0,Williamson,2026-01-20,2026-01-20 23:01:29
9131 OLD SMYRNA ROAD LLC,9131 OLD SMYRNA RD,Brentwood (086),011N B 00900 000,0024,4/16/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
921 LAWN VIEW LANE LLC,921 LAWNVIEW LN,Franklin (263264),089J E 00500 000,0805,5/14/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
9225 LIZA LLC,9225 LIZA CT,Brentwood (086),011M C 02000 000,0020,8/15/2025,"$1,650,000",,,,,,1650000.0,Williamson,2026-01-20,2026-01-20 23:01:29
9229 LIZA LLC,9229 LIZA CT,Brentwood (086),011M C 02100 000,0021,9/15/2025,"$1,650,000",,,,,,1650000.0,Williamson,2026-01-20,2026-01-20 23:01:29
9314 FALL COURT EAST TRUST,9314 FALL CT E,Brentwood (086),054E B 06200 000,0034,5/19/2025,"$1,224,900",,,,,,1224900.0,Williamson,2026-01-20,2026-01-20 23:01:29
9404 COXBORO REV TRUST,9404 COXBORO DR,Brentwood (086),030P B 05500 000,0051,9/15/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
A-1 COMMUNITIES LLC,101 SOUTHEAST PKWY CT #200,Franklin (263967),090K E 00100C005,0007,12/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
A-1 COMMUNITIES LLC,7236 FAIRLAWN DR,Fairview (255),023J D 00800 000,0008,12/18/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
